id,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,odd_time_signature,valence,cluster
5ir0VEsMI7cLhN6SEiaKol,0.586,119450.0,0.426,0.815,0.0898,-8.673,0,0.0362,150.968,0,0.793,0
1xzi1Jcr7mEi9K2RfzLOqS,0.78,225389.0,0.689,9.69e-06,0.0698,-5.668,1,0.141,115.042,0,0.642,0
41dv2yJDlnhrhFUTeM3jOq,0.498,200427.0,0.688,0.0,0.583,-8.641,0,0.0555,163.436,0,0.814,0
1z6WtY7X4HQJvzxC4UgkSf,0.652,267413.0,0.749,0.0,0.604,-5.248,1,0.0886,94.103,0,0.651,0
2Xhd1kYKj2aee7JR3nIlRe,0.751,260697.0,0.897,2.88e-05,0.329,-3.598,1,0.0468,119.97,0,0.482,0
6meH4I9A4WZtD3z8hnQKqr,0.644,150851.0,0.325,0.0511,0.11,-11.056,1,0.036,108.933,0,0.367,0
5FgPwJ7Nh2FVmIXviKl2VF,0.317,212040.0,0.172,0.000383,0.105,-10.636,1,0.0326,65.18,1,0.0963,0
6btdl1Vl6Ta5lUwUSOFW2H,0.549,168034.0,0.643,1.21e-05,0.107,-6.808,1,0.0543,174.041,0,0.123,0
6OlwUtrUglXv8nyBsy8PFq,0.787,254800.0,0.811,0.0348,0.0729,-10.207,1,0.0469,122.19,0,0.901,0
7c1KTn1z8Gw8ouYdcF4qaG,0.616,219973.0,0.728,0.0,0.228,-4.02,0,0.0278,111.934,0,0.375,0
1p4NOXfV2uuIScKhqXv0kn,0.729,241707.0,0.395,0.0221,0.0919,-16.142,1,0.206,86.126,0,0.664,0
7xRemq7GLu0Tbqe9OckG87,0.419,186213.0,0.517,0.0251,0.0785,-9.368,1,0.0284,145.109,0,0.905,0
6Pgkp4qUoTmJIPn7ReaGxL,0.662,181673.0,0.858,0.0,0.0456,-4.844,1,0.0428,133.993,0,0.295,0
1dGr1c8CrMLDpV6mPbImSI,0.359,221307.0,0.543,1.58e-05,0.118,-7.582,1,0.0919,68.534,0,0.453,0
08yuIzi0XniEaYf20qCmHm,0.452,294747.0,0.671,0.0,0.878,-6.95,1,0.0923,82.477,0,0.525,0
2yeI0FRWd1sqGpHEUc5DFm,0.547,173587.0,0.547,5.85e-06,0.172,-8.967,1,0.0306,135.798,0,0.454,0
5Ikos3uiBfPYAf7EZfz8t3,0.596,228133.0,0.451,3.52e-06,0.158,-9.468,1,0.0404,148.045,0,0.486,0
2Hw2kl2Vkthv8JMRKyQkCU,0.553,257920.0,0.72,0.0,0.108,-12.194,1,0.0582,106.315,0,0.648,0
6huNf4dutXRjJyGn7f5BPS,0.732,211421.0,0.678,2.41e-05,0.112,-4.977,1,0.0886,100.626,0,0.196,0
6ocbgoVGwYJhOv1GgI9NsF,0.778,178627.0,0.317,0.0,0.0881,-10.732,0,0.334,140.048,0,0.327,0
2F6JxWMP2ZfmVErc3ZTmqQ,0.529,222507.0,0.87,0.0,0.0946,-3.32,0,0.327,182.1,0,0.36,0
24OF9ihv97VwNXQZ2gGy8v,0.356,147840.0,0.323,0.000652,0.592,-8.165,1,0.0293,130.02,0,0.212,0
68Dni7IE4VyPkTOH9mRWHr,0.69,292799.0,0.521,0.0,0.0534,-8.492,0,0.339,100.028,0,0.494,0
3uraI4OKMHdBTUSxgmDOH3,0.426,272507.0,0.435,0.000392,0.426,-14.382,1,0.361,69.698,0,0.427,0
